,Name,Nationality,Club,Age,BP,Position,Total Stats,OVA,POT,Height,Weight,foot,Value,Wage
3267,L. Crisetig,Italy,CD Mirandés,26,CM,CM CDM,1856,73,74,182.88,79.83,Left,4600000,8000
3268,J. Bond,England,West Bromwich Albion,27,GK,GK,1179,64,67,193.04,83.91,Right,400000,12000
3269,J. Parker,Antigua &amp; Barbuda,Wycombe Wanderers,29,RW,ST,1605,61,61,180.34,76.2,Right,250000,3000
3270,K. Appiah,Ghana,AFC Wimbledon,28,ST,ST,1612,62,62,180.34,79.83,Right,325000,2000
3271,Cubillas,Spain,C.D. Castellón,30,ST,ST,1518,66,66,190.5,78.02,Right,625000,3000
3272,P. Djilobodji,Senegal,Gazişehir Gaziantep F.K.,31,CB,CB,1654,72,72,193.04,82.1,Left,2300000,10000
3273,K. Igboananike,Nigeria,IK Sirius,31,ST,ST,1663,64,64,175.26,69.85,Right,400000,1000
3274,R. Bowman,England,Exeter City,28,ST,ST,1617,63,63,185.42,83.01,Right,375000,3000
3275,F. Lejeune,France,Deportivo Alavés,29,CB,CB,1812,77,78,187.96,88.9,Right,8500000,24000
3276,E. O'Kane,Republic of Ireland,Luton Town,29,CDM,CDM CM,1733,65,65,172.72,68.95,Right,475000,4000
3277,Pizzi,Portugal,Portugal,30,RM,RM CM,2167,84,84,177.8,72.12,Right,29500000,25000
3278,D. Alibec,Romania,Romania,29,ST,ST,1925,72,72,187.96,88.0,Left,3100000,10000
3279,S. Morsy,Egypt,Middlesbrough,28,CDM,CDM CM,1863,70,70,172.72,74.84,Right,1600000,10000
3280,S. Makienok,Denmark,FC St. Pauli,29,ST,ST,1517,66,66,200.66,93.89,Right,650000,6000
3281,G. Francomb,England,Crawley Town,28,RB,RB CB,1732,64,64,180.34,73.03,Right,375000,3000
3282,E. Larsson,Sweden,Malmö FF,28,RB,RB CB,1883,70,70,175.26,72.12,Right,1500000,5000
3283,J. Morrow,United States,Toronto FC,32,LB,LB LWB LM,1888,70,70,175.26,74.84,Left,1100000,5000
3284,J. Toornstra,Netherlands,Feyenoord,31,CM,CM CAM,2014,75,75,177.8,73.94,Right,5500000,14000
3285,M. Perin,Italy,Genoa,27,GK,GK,1277,82,84,187.96,77.11,Right,18500000,20000
3286,T. Eaves,England,Hull City,28,ST,ST,1587,67,67,190.5,86.18,Right,800000,4000
3287,M. Pereira,France,CFR Cluj,32,LW,LW RW,1829,66,66,180.34,73.03,Right,500000,5000
3288,Ximo Navarro,Spain,Deportivo Alavés,30,RB,RB CB,1887,74,74,175.26,74.84,Right,4400000,19000
3289,Y. de Lanlay,Norway,Viking FK,28,RW,RW LW,1802,67,67,180.34,72.12,Right,775000,2000
3290,Sérgio Oliveira,Portugal,FC Porto,28,CM,CM,2067,78,78,180.34,78.02,Right,10500000,16000
3291,D. Burn,England,Brighton & Hove Albion,28,CB,CB LB,1627,75,76,198.12,87.09,Left,6500000,46000
3292,M. Gillespie,England,Newcastle United,28,GK,GK,1168,71,74,193.04,88.0,Right,2100000,19000
3293,E. Frear,England,Forest Green Rovers,28,LM,LM,1552,64,64,177.8,64.86,Left,450000,5000
3294,Pichu Atienza,Spain,Real Zaragoza,30,CB,CB,1381,68,68,190.5,84.82,Right,725000,4000
3295,F. Moubandje,Switzerland,Alanyaspor,30,LB,LB CB LWB,1868,70,70,180.34,73.94,Left,1400000,8000
3296,G. Williams B,England,Milton Keynes Dons,27,CB,CB RWB,1587,63,65,175.26,69.85,Right,375000,2000
3297,A. Abdennour,Tunisia,Kayserispor,29,CB,CB,1690,70,70,187.96,83.91,Left,1500000,8000
3298,P. Herrmann,Germany,Borussia Mönchengladbach,29,RW,RW RM,1902,78,78,177.8,69.85,Right,10000000,44000
3299,D. Stahl,Germany,SpVgg Unterhaching,31,CDM,CDM CM,1802,67,67,182.88,78.93,Right,575000,3000
3300,C. Anene,Norway,FC Midtjylland,27,ST,ST,1534,62,63,187.96,89.81,Right,350000,5000
3301,M. Höger,Germany,1. FC Köln,30,CDM,CDM CM,1941,72,72,182.88,83.01,Right,2600000,18000
3302,J. Guilavogui,France,VfL Wolfsburg,29,CB,CDM CM CB,1946,78,78,187.96,77.11,Right,9000000,44000
3303,Caio,United Arab Emirates,Al Ain FC,29,ST,ST LM,1873,73,73,177.8,69.85,Right,4000000,500
3304,C. Ortíz,Paraguay,Monterrey,31,CDM,CDM CM,1914,78,78,175.26,73.94,Left,8000000,41000
3305,L. Bacuna,Curacao,Cardiff City,28,CDM,CDM CM RB,1996,68,68,180.34,77.11,Right,800000,11000
3306,D. Lachman,Curacao,PEC Zwolle,29,CB,CB,1617,66,66,187.96,74.84,Right,550000,3000
3307,A. Ragusa,Italy,Hellas Verona,30,RW,RW LW,1845,72,72,182.88,77.11,Right,2900000,21000
3308,R. Rojas,Paraguay,Olimpia Asunción,32,CM,CM RM,2032,71,71,180.34,77.11,Right,1800000,500
3309,R. Funes Mori,Argentina,Monterrey,29,ST,ST,1993,78,78,185.42,78.02,Right,10500000,50000
3310,Bartra,Spain,Real Betis,29,CB,CB CDM,2044,80,80,182.88,73.03,Right,12500000,29000
3311,Samu Sáiz,Spain,Girona FC,29,RW,CAM CM LM,1798,70,70,175.26,68.04,Right,1700000,6000
3312,S. Araujo,Argentina,UD Las Palmas,28,CF,ST LW,1772,69,69,180.34,79.83,Right,1100000,6000
3313,M. van der Maarel,Netherlands,FC Utrecht,30,CDM,CB LB RB,1661,66,66,177.8,73.94,Right,525000,4000
3314,Guerrero,Spain,Nottingham Forest,29,ST,ST,1851,72,72,180.34,76.2,Right,3100000,38000
3315,J. Taylor,Wales,Exeter City,28,RM,CM CDM,1813,63,63,177.8,77.11,Right,375000,3000
3316,Jonathan Viera,Spain,Beijing Sinobo Guoan FC,30,CAM,CAM,2133,81,81,170.18,67.13,Right,17000000,28000
3317,L. Castaignos,Netherlands,Gyeongnam FC,26,ST,ST,1722,67,68,187.96,84.82,Right,900000,3000
3318,S. de Vrij,Netherlands,Inter,28,CB,CB,1823,84,85,187.96,78.02,Right,30500000,130000
3319,B. Schenkeveld,Netherlands,Panathinaikos FC,28,CB,CB,1760,71,72,185.42,83.01,Right,2300000,500
3320,A. Calisir,Armenia,IFK Göteborg,30,CB,CB,1603,66,66,180.34,73.94,Right,525000,2000
3321,G. Cunningham,Republic of Ireland,Cardiff City,29,LB,LB,1858,72,72,182.88,69.85,Left,2600000,20000
3322,R. Mak,Slovakia,Atiker Konyaspor,28,RM,RM LM,1866,74,74,177.8,78.02,Right,5500000,17000
3323,D. Williams,United States,Huddersfield Town,29,CB,CM CDM,1987,70,70,182.88,79.83,Right,1700000,30000
3324,P. Slišković,Croatia,Türkgücü München,29,ST,ST,1510,60,60,193.04,91.17,Right,210000,1000
3325,P. Lasogga,Germany,Hamburger SV,26,ST,ST,1710,73,74,187.96,88.0,Right,4800000,15000
3326,Jordi Amat,Spain,KAS Eupen,28,CB,CB CDM,1659,70,71,182.88,83.01,Right,1700000,7000
3327,B. Stambouli,France,FC Schalke 04,29,CDM,CB CDM,1904,77,77,180.34,82.1,Right,7500000,27000
3328,Leandro Damião,Brazil,Kawasaki Frontale,30,ST,ST,1735,73,73,187.96,89.81,Right,3900000,12000
3329,L. Insigne,Italy,Napoli,29,LW,LW CF,2001,85,85,162.56,58.97,Right,37500000,120000
3330,M. Bourabia,Morocco,Sassuolo,28,CM,CM CDM CAM,1809,69,69,182.88,73.03,Right,1000000,15000
3331,Germán,Spain,Granada CF,33,CB,CB,1638,77,77,187.96,82.1,Right,4200000,25000
3332,J. Taylor,England,Doncaster Rovers,27,RM,RM LM,1707,68,68,167.64000000000001,77.11,Right,950000,5000
3333,Raúl Carnero,Spain,Real Valladolid CF,31,LB,LB LM,1981,73,73,180.34,73.94,Left,2900000,15000
3334,G. Canales,Chile,Universidad de Chile,33,ST,ST,1919,75,75,185.42,83.91,Right,2700000,45000
3335,S. Sinovic,United States,New England Revolution,33,LB,LB,1623,65,65,177.8,77.11,Left,240000,2000
3336,T. Ream,United States,Fulham,32,CB,CB,1795,70,70,187.96,79.83,Left,1100000,41000
3337,B. Ketkeophomphone,France,USL Dunkerque,30,CAM,ST RM RW,1688,67,67,180.34,71.21,Right,725000,3000
3338,J. Jervis,England,Salford City,27,RM,RM LM ST,1599,64,64,190.5,82.1,Right,475000,5000
3339,S. Beitashour,Iran,Colorado Rapids,33,RB,RB,1838,70,70,177.8,71.21,Right,800000,5000
3340,Campos,Spain,C.D. Castellón,33,GK,GK,1003,65,65,187.96,82.1,Right,300000,2000
3341,Rodrigo,Spain,Leeds United,29,ST,ST,2073,82,82,182.88,77.11,Left,22000000,140000
3342,I. Franjić,Australia,Macarthur FC,32,RWB,RWB,1776,66,66,180.34,76.2,Right,400000,1000
3343,M. Vydra,Czech Republic,Burnley,28,CF,CF CAM,1869,73,73,180.34,71.21,Right,4100000,44000
3344,B. Oviedo,Costa Rica,FC København,30,LB,LB,1869,67,67,172.72,69.85,Left,600000,7000
3345,F. Jara,Argentina,FC Dallas,31,ST,ST,1854,75,75,180.34,77.11,Right,6000000,9000
3346,M. Autret,France,AJ Auxerre,29,CAM,CAM LM,1831,72,72,177.8,63.96,Right,3000000,6000
3347,D. Bentley,England,Bristol City,26,GK,GK,1203,70,74,187.96,72.12,Right,1700000,17000
3348,S. Bell,Germany,1. FSV Mainz 05,28,CB,CB,1582,73,73,193.04,88.0,Right,3500000,21000
3349,J. Ramis,Uruguay,Vélez Sarsfield,30,RW,ST LM,1463,59,59,177.8,77.11,Right,150000,3000
3350,S. Clark,United States,Portland Timbers,34,GK,GK,1225,73,73,187.96,86.18,Right,1800000,5000
3351,Tomás Pina,Spain,Deportivo Alavés,32,CM,CM CDM,1937,76,76,182.88,78.02,Right,6000000,24000
3352,L. Palmer  B,Scotland,Sheffield Wednesday,28,RB,RB LB RWB,1841,68,68,182.88,81.19,Right,775000,8000
3353,G. Thorne,England,Oxford United,26,CDM,CDM,1761,67,67,187.96,83.91,Right,725000,4000
3354,A. Kačaniklić,Sweden,Hammarby IF,28,RW,RW RM,1764,70,70,180.34,72.12,Left,1800000,4000
3355,M. Waris,Ghana,RC Strasbourg Alsace,28,RW,RM ST,1851,73,73,172.72,71.21,Right,4000000,24000
3356,J. Zoua,Cameroon,FC Viitorul,27,ST,ST,1705,66,66,185.42,83.91,Right,675000,4000
3357,S. Tecl,Czech Republic,SK Slavia Praha,29,ST,ST,1845,72,72,180.34,82.1,Right,3100000,500
3358,T. Bradshaw,Wales,Millwall,27,ST,ST,1708,69,69,177.8,71.21,Right,1100000,8000
3359,Dani Rodríguez,Spain,RCD Mallorca,32,RM,RM LM CM,1972,75,75,177.8,72.12,Right,5000000,10000
3360,J. Larsson,Sweden,IF Elfsborg,30,RB,RB,1986,71,71,182.88,74.84,Right,1900000,4000
3361,Guitián,Spain,Real Zaragoza,29,CB,CB,1725,71,71,180.34,68.95,Right,2000000,7000
3362,M. Flores,Argentina,Newcastle Jets,28,CAM,CAM CF,1558,65,65,185.42,74.84,Right,575000,7000
3363,P. Arajuuri,Finland,Finland,32,CB,CB,1420,68,68,193.04,92.08,Right,0,0
3364,J. McClean,Republic of Ireland,Stoke City,31,LW,LW LM LB,1977,71,71,180.34,69.85,Left,2100000,20000
3365,M. Connolly,Republic of Ireland,Dundee United,28,CB,CB,1390,63,64,185.42,77.11,Right,350000,2000
3366,J. Drmić,Switzerland,Norwich City,27,ST,ST RM,1859,72,72,182.88,81.19,Right,3300000,10000
3367,Mika,Portugal,Os Belenenses,28,GK,GK,1091,68,71,195.57999999999998,89.81,Left,800000,3000
3368,Cláudio Ramos,Portugal,FC Porto,28,GK,GK,1293,77,80,182.88,78.02,Right,8000000,11000
3369,X. Kouassi,Ivory Coast,Pau FC,30,CDM,CB CDM,1858,68,68,175.26,68.95,Right,725000,2000
3370,C. Aasbak,Norway,Kristiansund BK,26,LB,LB,1794,66,67,187.96,81.19,Left,650000,1000
3371,B. Paulsen,Denmark,FC Ingolstadt 04,28,CB,CB RB,1789,67,68,190.5,84.82,Right,750000,3000
3372,C. Gamboa,Costa Rica,VfL Bochum 1848,30,RB,RB,1928,70,70,175.26,74.84,Right,1400000,10000
3373,A. Ujah,Nigeria,1. FC Union Berlin,29,ST,ST,1746,71,71,180.34,81.19,Right,2400000,21000
3374,Carlos Ruiz,Spain,CD Tenerife,36,CB,CB,1752,67,67,182.88,79.83,Right,150000,3000
3375,K. Mbodji,Senegal,RSC Anderlecht,28,CB,CB,1745,75,75,193.04,92.08,Right,5500000,20000
3376,G. Garza,United States,FC Cincinnati,28,LB,LB LM,1866,69,69,172.72,68.04,Left,900000,4000
3377,M. Linnes,Norway,Galatasaray SK,28,RB,RB LB,1899,74,74,177.8,72.12,Right,4800000,47000
3378,L. Mendoza,Mexico,Mazatlán FC,30,RM,RM ST,1838,71,71,172.72,74.84,Right,2200000,9000
3379,J. Nilsen,Norway,FK Haugesund,29,CDM,CDM CM,1774,63,63,177.8,73.03,Left,325000,1000
3380,Raúl Navas,Spain,CA Osasuna,32,CB,CB,1614,73,73,185.42,83.91,Right,2600000,22000
3381,D. Drexler,Germany,1. FC Köln,30,CAM,CAM CM LM,1776,73,73,182.88,71.21,Right,3800000,22000
3382,H. Hansson,Faroe Islands,AC Horsens,27,CAM,CM ST,1840,65,65,182.88,77.11,Right,550000,3000
3383,S. Bain,Scotland,Celtic,28,GK,GK,1355,72,74,180.34,83.91,Right,2700000,27000
3384,Rodri,Spain,Real Oviedo,30,ST,ST,1715,68,68,175.26,73.94,Right,875000,5000
3385,J. Zárate,Mexico,Puebla FC,27,LM,LM LB,1759,69,69,167.64000000000001,63.96,Left,1100000,5000
3386,Wellington Silva,Brazil,Bolton Wanderers,22,RW,RM LM,1838,74,80,170.18,68.04,Right,4600000,30000
3387,Z. Labyad,Morocco,Ajax,27,CAM,CF CAM RW,1890,75,76,175.26,64.86,Right,8000000,17000
3388,K. Zohore,Denmark,West Bromwich Albion,26,ST,ST,1577,70,72,193.04,96.16,Left,2200000,42000
3389,B. Natcho,Israel,Olympiacos CFP,30,CM,CM CDM,2067,77,77,177.8,74.84,Right,8000000,2000
3390,M. Silva,Uruguay,Club Libertad,37,GK,GK,1102,73,73,185.42,79.83,Right,400000,500
3391,A. Kolomeytsev,Russia,Lokomotiv Moscow,30,CDM,CDM CAM,1861,69,69,182.88,78.02,Right,875000,19000
3392,C. Missilou,Congo,Northampton Town,27,CDM,CDM CM,1687,64,65,180.34,74.84,Right,475000,3000
3393,J. Svensson,Norway,AZ Alkmaar,27,RB,RB,2068,78,79,170.18,69.85,Right,10500000,12000
3394,F. Midtsjø,Norway,AZ Alkmaar,26,CM,CM CDM,2051,78,79,175.26,69.85,Right,12000000,13000
3395,N. Teja,Mexico,U.N.A.M.,21,RB,RB CB,1703,65,74,170.18,60.78,Right,800000,5000
3396,M. Gabbiadini,Italy,Sampdoria,28,CF,ST,1827,75,75,180.34,74.84,Left,7000000,21000
3397,F. Pogba,Guinea,FC Sochaux-Montbéliard,29,CB,CB,1711,68,68,187.96,87.09,Left,750000,3000
3398,D. Parrett,England,Stevenage,27,CM,CM CDM RM,1723,62,62,177.8,86.18,Right,300000,3000
3399,J. McEachran,England,Birmingham City,27,CDM,CDM CM,1762,67,67,177.8,64.86,Left,700000,6000
3400,A. Najar,Honduras,Los Angeles FC,27,RB,RB CB,1968,71,72,170.18,68.95,Right,2400000,5000
3401,Luis Alberto,Spain,Lazio,27,CAM,CAM CM CF,2048,85,85,182.88,73.94,Right,40500000,99000
3402,J. Rodríguez,Colombia,Everton,28,CAM,CAM CM RM,2099,82,82,180.34,74.84,Left,22500000,105000
3403,Sergio León,Spain,Levante UD,31,ST,ST,1883,74,74,177.8,73.03,Right,5000000,23000
3404,W. Zaha,Ivory Coast,Crystal Palace,27,LM,LM CF,1961,83,83,180.34,66.22,Right,27000000,82000
3405,N. Redmond,England,Southampton,26,LM,LM,1827,78,79,172.72,68.95,Right,12000000,55000
3406,E. Rashani,Kosovo,Odds BK,27,LW,LW RW,1752,68,68,180.34,71.21,Left,950000,3000
3407,J. Corona,United States,LA Galaxy,29,CDM,CM CDM,1904,69,69,177.8,72.12,Right,1000000,4000
3408,S. Taïder,Algeria,Montreal Impact,28,CM,CM CDM LW,2047,75,75,180.34,78.93,Right,6500000,9000
3409,J. Williams,Wales,Charlton Athletic,26,CAM,CAM LM,1728,69,71,167.64000000000001,59.87,Right,1300000,5000
3410,A. Oxlade-Chamberlain,England,Liverpool,26,CAM,CM,2118,79,80,175.26,69.85,Right,14500000,89000
3411,N. Çiftçi,Turkey,Çaykur Rizespor,28,ST,ST RW,1712,64,64,185.42,77.11,Right,475000,4000
3412,B. Wright,Australia,Sunderland,27,CB,CB RB,1602,68,69,182.88,78.93,Right,900000,6000
3413,R. Amalfitano,France,Dijon FCO,30,CM,CM CDM,1825,72,72,175.26,71.21,Right,2900000,11000
3414,Vinícius,Brazil,Adanaspor,22,RW,ST LW LM,1729,70,75,180.34,72.12,Right,1800000,15000
3415,V. Pajot,France,FC Metz,29,CDM,CM,1931,72,72,180.34,69.85,Right,3000000,15000
3416,Abraham,Spain,Racing Santander,33,LB,LB LM,1845,66,66,175.26,71.21,Left,300000,3000
3417,Aday Benítez,Spain,Girona FC,32,RM,RM LB RB,1865,73,73,177.8,74.84,Right,3100000,9000
3418,J. Amione,Mexico,Lobos BUAP,27,ST,ST,1698,68,68,172.72,77.11,Left,950000,7000
3419,T. Petsos,Greece,WSG Tirol,29,CDM,CDM,1721,65,65,182.88,79.83,Right,475000,3000
3420,S. Romagnoli,Italy,Empoli,30,CB,CB,1568,71,71,193.04,84.82,Right,1900000,3000
3421,N. Mendy,France,Leicester City,28,CDM,CDM CM,1964,75,75,167.64000000000001,73.03,Right,6000000,60000
3422,N. Isimat-Mirin,France,Beşiktaş JK,28,CB,CB,1557,70,70,187.96,78.02,Right,1600000,29000
3423,Adriano,Brazil,FC Seoul,32,ST,ST,1645,65,65,170.18,68.04,Right,425000,3000
3424,João Pereira,Portugal,SønderjyskE,29,LB,LB CB,1644,60,60,182.88,78.93,Left,170000,2000
3425,G. Hanley,Scotland,Norwich City,28,CB,CB,1497,70,70,187.96,81.19,Right,1600000,7000
3426,I. Cofie,Ghana,Sivasspor,28,CB,CDM CM,1898,69,69,182.88,74.84,Right,925000,8000
3427,D. D'Ambrosio,Italy,Inter,31,RB,RB LB CB,1996,77,77,180.34,74.84,Right,6500000,72000
3428,K. Malcuit,France,Napoli,28,RB,RB RM,2020,78,78,177.8,77.11,Right,9000000,57000
3429,Pablo Sarabia,Spain,Paris Saint-Germain,28,RW,RW CAM,2025,81,81,175.26,69.85,Left,18000000,100000
3430,C. Bakambu,DR Congo,Beijing Sinobo Guoan FC,29,ST,ST,2005,80,80,182.88,73.94,Right,15000000,30000
3431,S. Benedetti,Italy,Pisa,27,CB,CB RB,1568,68,70,190.5,79.83,Right,950000,1000
3432,J. Mensah,Ghana,Columbus Crew SC,29,CB,CB,1686,71,71,187.96,83.01,Right,2000000,6000
3433,S. Petrov,Russia,Russia,29,RB,RB,1989,76,76,175.26,71.21,Right,0,0
3434,T. Sainsbury,Australia,KV Kortrijk,28,CB,CB CDM,1819,72,73,182.88,78.02,Right,3000000,11000
3435,M. Amini,Australia,Aarhus GF,27,CAM,CM,1812,66,67,172.72,71.21,Right,725000,4000
3436,M. Ryan,Australia,Brighton & Hove Albion,28,GK,GK,1366,80,82,182.88,82.1,Right,13000000,53000
3437,M. McGinley,Republic of Ireland,Finn Harps,30,GK,GK,988,57,58,185.42,86.18,Right,80000,500
3438,J. Robinson,England,Sheffield United,26,CB,CB LWB,1775,70,71,180.34,67.13,Left,1800000,17000
3439,C. Aránguiz,Chile,Bayer 04 Leverkusen,31,CDM,CDM CM,2171,83,83,170.18,69.85,Right,19500000,78000
3440,D. Corcoran,Republic of Ireland,Bohemian FC,31,ST,ST,1543,61,61,182.88,82.1,Right,230000,750
3441,G. Tzavellas,Greece,Alanyaspor,32,CB,CB LB,1973,74,74,182.88,86.18,Left,3600000,13000
3442,V. Aboubakar,Cameroon,Beşiktaş JK,28,ST,ST,1902,74,74,182.88,82.1,Right,6000000,55000
3443,L. Traoré,Ivory Coast,CFR Cluj,28,ST,ST,1529,69,69,203.2,87.09,Left,1100000,7000
3444,Wang Gang,China PR,China PR,31,RB,RB RM,1810,67,67,187.96,81.19,Right,550000,6000
3445,Ricardo Bueno,Brazil,Seongnam FC,27,ST,ST,1655,65,65,185.42,82.1,Right,550000,7000
3446,Raúl Lizoain,Spain,CD Mirandés,29,GK,GK,1161,68,70,185.42,83.01,Left,750000,3000
3447,A. Domínguez,Ecuador,Vélez Sarsfield,33,GK,GK,1168,72,72,195.57999999999998,83.91,Right,1700000,9000
3448,M. Arroyo,Ecuador,Barcelona Sporting Club,33,LM,LM,1580,65,65,182.88,81.19,Right,325000,500
3449,L. Muriel,Colombia,Atalanta,29,CF,ST,1914,79,79,177.8,78.93,Right,12500000,65000
3450,A. Tinnerholm B,Sweden,New York City FC,29,RB,RB RWB,1843,73,73,175.26,74.84,Right,3300000,7000
3451,J. Iturbe,Paraguay,U.N.A.M.,27,RM,RM ST,1814,72,72,170.18,62.14,Left,3300000,11000
3452,Luna,Spain,Levante UD,29,LB,LB LM,1901,72,72,177.8,68.04,Left,2600000,16000
3453,Sergio Álvarez,Spain,SD Eibar,28,CDM,CDM CB CM,1936,75,76,182.88,73.94,Right,6500000,24000
3454,L. Brattan,Australia,Sydney FC,30,CDM,CDM CM,1906,68,68,175.26,64.86,Right,750000,4000
3455,Yang Jun A,Korea Republic,Incheon United FC,31,CB,ACB,1712,63,63,187.96,83.01,Left,275000,1000
3456,K. Mokotjo,South Africa,FC Cincinnati,29,CDM,CM CDM,1798,69,69,175.26,72.12,Right,1000000,4000
3457,B. Dabo,Burkina Faso,Benevento,28,CDM,CM CDM,2003,72,72,185.42,81.19,Right,3100000,14000
3458,Kim Bo Kyung,Korea Republic,Jeonbuk Hyundai Motors,30,CAM,CAM CM,2005,74,74,175.26,72.12,Left,5500000,11000
3459,R. Barkley,England,Aston Villa,26,CAM,CM CAM,2010,78,81,185.42,87.09,Right,12500000,58000
3460,D. Appiah,France,FC Nantes,28,RB,RB,1789,72,72,177.8,68.04,Right,2700000,17000
3461,J. Delaplace,France,FC Lorient,34,CDM,RB CM,1840,68,68,167.64000000000001,67.13,Right,325000,11000
3462,D. Vida,Croatia,Beşiktaş JK,31,CB,CB RB,1804,78,78,182.88,76.2,Right,7500000,58000
3463,A. Gorgon,Austria,Pogoń Szczecin,31,LM,LM RM CAM,1843,70,70,185.42,76.2,Right,1600000,5000
3464,Kim Tae Hwan,Korea Republic,Ulsan Hyundai FC,30,RB,RB RW,1906,71,71,177.8,72.12,Right,1900000,6000
3465,S. Stangl,Austria,Türkgücü München,28,LB,LB,1757,66,66,185.42,71.21,Left,550000,2000
3466,Hong Chul,Korea Republic,Ulsan Hyundai FC,29,LB,LB LM,1937,72,72,177.8,69.85,Left,2600000,7000
3467,G. Allison,Mexico,Cruz Azul,28,GK,GK,1120,65,66,190.5,89.81,Right,450000,5000
3468,Álex Fernández,Spain,Cádiz CF,27,CM,CAM CDM,1970,74,75,182.88,72.12,Right,6500000,25000
3469,João Pedro,Brazil,Cagliari,28,CF,CF CAM,1977,79,79,182.88,73.03,Right,13000000,44000
3470,Kim Da Sol,Korea Republic,Suwon Samsung Bluewings,31,GK,GK,1072,59,59,187.96,79.83,Right,100000,700
3471,Ji Dong Won,Korea Republic,1. FSV Mainz 05,29,ST,CF CAM LM,1857,71,71,187.96,82.1,Right,2400000,19000
3472,I. Nestorovski,North Macedonia,Udinese,30,ST,ST,1800,73,73,182.88,74.84,Left,3900000,16000
3473,A. Abrashi,Albania,SC Freiburg,30,CDM,CDM CM,1850,71,71,172.72,76.2,Right,2000000,14000
3474,E. Lenjani,Albania,FC Sion,29,LM,LM LB,1952,71,71,175.26,64.86,Left,2300000,21000
3475,S. Kukuruzović,Croatia,FC Lausanne-Sport,31,CM,CM CDM,1879,68,68,180.34,76.2,Left,775000,7000
3476,B. Dja Djédjé,Ivory Coast,Kayserispor,28,CB,CDM RB,1841,68,68,170.18,71.21,Right,800000,6000
3477,E. Tié Bi,Ivory Coast,US Quevilly Rouen Métropole,26,CDM,CDM CM,1712,66,69,180.34,76.2,Right,675000,3000
3478,A. Losilla,France,VfL Bochum 1848,34,CDM,CDM CM CB,1843,71,71,185.42,79.83,Right,900000,11000
3479,Danilo,Brazil,Juventus,28,RB,RB LB,2112,79,79,182.88,78.02,Right,11000000,73000
3480,M. Wittek,Germany,SV Darmstadt 98,31,CB,CB CDM,1500,67,67,193.04,88.0,Right,575000,6000
3481,A. Bamba  B,Ivory Coast,Angers SCO,30,RB,RB LB RWB,1822,73,73,182.88,72.12,Right,3200000,17000
3482,A. Elek,Hungary,Hungary,28,CDM,CDM,1869,71,71,193.04,91.17,Left,0,0
3483,T. Holý,Czech Republic,Ipswich Town,28,GK,GK,1041,65,67,205.74,102.06,Right,475000,3000
3484,M. Riemann,Germany,VfL Bochum 1848,31,GK,GK,1396,72,72,185.42,83.01,Right,2000000,10000
3485,M. Wunderlich,Germany,Viktoria Köln,34,CAM,CAM ST,1783,67,67,182.88,69.85,Right,375000,2000
3486,M. Rzatkowski,Germany,New York Red Bulls,30,CM,CM CDM,1980,72,72,172.72,66.22,Left,2900000,7000
3487,Lucas Pérez,Spain,Deportivo Alavés,31,ST,ST,1979,79,79,180.34,73.03,Left,11500000,32000
3488,T. Klose,Switzerland,Norwich City,32,CB,CB,1461,72,72,193.04,87.09,Right,2000000,8000
3489,B. Linssen,Netherlands,Feyenoord,29,ST,LW ST,1962,74,74,170.18,63.96,Right,5500000,15000
3490,P. Chavarría,Argentina,Málaga CF,32,ST,ST RM,1848,71,71,185.42,79.83,Right,1900000,8000
3491,J. Musa,New Zealand,Minnesota United FC,28,CDM,CDM CM,1559,64,65,190.5,77.11,Left,450000,2000
3492,M. Aguirregaray,Uruguay,Al Fateh,31,RB,RB LB,1934,72,72,175.26,78.02,Right,2200000,19000
3493,N. Pallois,France,FC Nantes,32,CB,CB,1766,78,78,187.96,88.9,Left,6500000,26000
3494,D. Post,Netherlands,VVV-Venlo,31,CB,CDM CM,1716,67,67,190.5,92.08,Right,575000,3000
3495,Sebá,Brazil,Al Shabab,28,LM,LM ST,1932,72,72,182.88,73.03,Left,3100000,25000
3496,Ibai Gómez,Spain,Athletic Club de Bilbao,30,RW,RW LW,2083,79,79,177.8,72.12,Right,12000000,31000
3497,H. Tekin,Turkey,Fenerbahçe SK,31,GK,GK,1093,74,74,187.96,78.02,Right,3600000,36000
3498,J. Clasie,Netherlands,AZ Alkmaar,29,CM,CM CDM,1983,74,74,170.18,66.22,Right,5500000,11000
3499,D. Tadić,Serbia,Ajax,31,CF,CF LW CAM,2073,83,83,180.34,76.2,Left,23500000,30000
3500,M. Gregoritsch,Austria,FC Augsburg,26,ST,ST CAM,1828,74,77,193.04,87.09,Left,7000000,26000
3501,M. Gollner,Austria,TSV Hartberg,29,CB,CB LB,1385,64,64,185.42,79.83,Left,375000,2000
3502,W. Ben Yedder,France,AS Monaco,29,CF,ST,2080,84,84,170.18,68.04,Right,31000000,91000
3503,P. Hunt,England,Longford Town,25,GK,GK,1004,54,56,182.88,78.02,Right,70000,2000
3504,J. Aguilar,Paraguay,Sol de América,31,CDM,CDM CM,1591,66,66,177.8,77.11,Right,475000,500
3505,M. Meilinger,Austria,SCR Altach,28,RM,RM LM,1701,67,67,180.34,77.11,Left,775000,5000
3506,B. Uaferro,Germany,1. FC Saarbrücken,28,CB,CB,1565,64,64,190.5,86.18,Right,400000,2000
